C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Username,Bid,Tricks
TS,6S,QC,AC,JJ,KD,4H,5H,7D,KC,Zach,6C,7
4D,TS,QC,5H,9S,AS,KS,JS,5S,QS,jrb,8S,8
7D,7C,4D,4S,JH,6S,KD,6D,AH,QD,John P,No,0
4H,JC,JD,QS,4S,5H,JJ,AD,AH,QD,jrb,7D,6
5C,8H,4D,JC,7D,6C,4H,TC,KS,4C,jrb,No,0
AH,QS,AS,6D,JJ,7C,6S,AC,9D,5D,Mike,6N,8
9C,AH,7C,JJ,5H,6C,JS,KC,KD,QD,Mike,8C,9
AS,4S,6D,9D,7S,4D,QD,8D,5D,TS,Mike,No,0
KS,8D,9C,JC,TS,7S,7C,JJ,TC,TH,Becky,8C,10
QD,AD,TH,TC,QS,6D,8D,8H,KD,KS,jrb,7N,5
4C,KC,JC,JS,6D,6C,TS,JD,8S,4D,Mike,8C,9
AC,8D,8S,KS,TS,4D,TD,JJ,6D,QH,Mike,8S,8
4D,9D,KD,QS,TD,6C,5D,AC,7C,JC,John P,No,0
6D,KH,5C,4H,4S,AH,TS,JS,8H,9D,Mike,8H,8
4D,QD,5S,AH,4H,TH,QH,AS,7D,JJ,jrb,8N,9
JJ,AD,4S,KH,QD,9D,5D,4C,QS,JD,jrb,8D,8
9S,KC,4S,8D,TC,KS,9D,9C,8S,AD,Mike,9S,9
JH,KC,QH,7S,5D,8C,KS,4S,5C,8S,Mike,Nl,0
JH,AC,KS,5D,8C,7C,6H,4D,JC,AH,Mike,6H,5
QC,7H,QH,6D,8D,QS,9C,6H,9S,AD,Chris,Nd,0
KH,KD,TH,7C,7S,JJ,7H,AD,8C,AH,jrb,7N,7
6H,8D,9C,JH,9S,4S,AC,JJ,QH,4C,Mike,7H,8
JC,6H,TH,4C,TS,QH,4H,8S,7C,AS,Chris,9S,4
7H,JD,7C,AS,4C,TH,JC,TC,QC,KH,John P,9C,10
KH,JD,8D,7D,AD,7S,AS,8H,KD,7H,Chris,9D,7
7C,4C,TH,JC,6S,5S,6D,TD,6C,7S,Mike,No,0
JC,JS,JJ,JH,8D,QC,KH,5C,5S,7S,John P,8C,6
9S,4D,KC,9D,TD,JH,8S,QD,TS,KD,Zach,7D,7
9H,TC,JD,AS,AC,JH,4S,6D,JS,5S,Mike,7H,7
7S,5H,AS,AD,KD,6H,QH,AC,4H,JS,jrb,7N,8
5S,6D,8H,4C,TS,QD,7D,5D,9C,8C,Becky,Nd,6
4D,8C,KC,QC,9C,JC,AH,9H,4S,TS,Mike,8C,8
6S,8D,4S,KD,KS,QC,6D,AS,8S,5C,Mike,Nl,1
8C,7S,4D,AS,JS,KC,6H,KS,6S,TC,Becky,9S,10
5H,6D,JS,QH,5C,7D,4D,5D,8S,JH,jrb,6D,9
8C,QH,6C,TH,KH,6H,KC,JD,KS,4D,John P,7H,8
9D,4C,JH,AS,7C,5S,6S,5C,TH,8H,Mike,Nl,0
QS,8D,8H,4S,8C,JD,TC,9D,5C,QC,jrb,8H,6
TS,7D,5H,4S,AS,5D,7C,6D,JC,7S,Mike,Nl,0
9D,TC,6H,KD,7S,TD,AD,KC,5C,QD,John P,7N,8
JS,TS,8C,7H,7D,KH,8H,JH,9D,9C,Mike,7H,5
5D,AH,8S,5S,QC,6D,JJ,JC,6H,4C,Mike,7C,10
QH,KC,9S,9D,7H,AH,QC,AC,TD,6S,Mike,7N,6
9D,4D,JS,7H,AS,AC,AD,6C,TC,8S,jrb,7C,6
TD,4C,4S,5H,9D,6C,4D,8H,JH,8D,Becky,No,0
6S,JD,JC,9S,7H,KS,JH,5H,TH,9D,jrb,7H,9
9D,JJ,TC,KS,TH,AH,8S,KH,4S,7S,Mike,9N,10
6S,QC,8D,TD,QH,6C,JJ,4S,6H,5C,Mike,No,4
5C,KC,9S,7H,5D,TD,JJ,AD,QC,9H,jrb,7N,9
8D,4S,JJ,6D,6H,AS,7D,8S,JH,5D,John P,No,1
JD,7C,QD,AH,AS,KC,TC,QC,JC,6H,Becky,7C,8
AH,6C,AS,AC,5S,QH,8H,4H,8D,JJ,Mike,8N,6
5S,AD,JC,JH,KH,JJ,8C,TD,9S,JD,John P,7D,8
QH,QC,6D,5H,4D,JD,8S,JH,6C,KC,Mike,7H,6
AS,4C,4S,JC,JJ,AC,TH,TS,6H,7D,jrb,Nd,5
KH,6C,8D,AS,4H,7C,AC,AD,4S,4D,John P,Nd,1
9H,QS,5C,KH,6S,5D,8S,KC,4C,7S,Mike,No,0
6S,7H,KH,AH,AC,TS,QH,JJ,4C,9D,Becky,7N,8
KD,AH,JC,6D,QC,QH,7S,4S,8D,AS,Mike,8N,7
AC,7H,7S,TC,AH,5C,JC,KH,7D,8S,John P,6N,5
5D,AC,QD,9S,QH,JJ,6C,5C,JD,7D,jrb,8D,9
QC,QD,TD,AD,7D,8H,JJ,7C,8D,JD,Mike,8D,9
QD,AD,4S,8S,JD,KH,JS,8C,7C,7H,jrb,7D,7
9C,7D,8C,AS,8H,KD,JD,QS,TD,KH,Zach,6D,5
7S,QH,TC,7D,4D,8S,5D,AC,5S,TS,Mike,No,0
4S,AC,9C,5C,KC,8C,4D,TH,JJ,JC,Zach,9C,7
KS,AS,QS,9H,JJ,JC,4S,TC,6H,6S,Mike,8C,9
KC,KD,JD,6C,TC,7C,6H,7D,5S,JS,Mike,8C,7
QC,5C,6S,JC,7D,4C,TH,7C,9C,5D,Becky,No,1
9C,7S,AD,JJ,9H,7C,JC,7H,5C,JH,jrb,7C,8
TD,9S,4H,6D,TH,5D,7H,KS,TC,TS,Mike,Nl,0
7D,JD,8C,5S,8S,7S,JC,6C,JH,AS,Mike,7D,6
8C,7D,6D,5H,TD,9C,4C,9S,QD,JS,John P,No,0
5C,7C,9C,AD,KD,8D,4H,JJ,JH,QD,John P,7D,7
KH,7S,4S,AC,4C,AS,QC,JC,8S,5C,jrb,7C,3
5C,TH,9C,JD,TD,7C,4S,9S,7S,AD,Mike,7D,7
QH,8S,5H,AD,9S,JH,TC,QD,8C,TH,Mike,8H,8
TC,JC,KS,5C,8S,QS,4D,4C,7H,4S,Mike,Nl,0
6S,JC,QC,9C,JS,KC,5H,7D,QH,KD,Becky,7C,8
9S,TC,KC,8C,TH,TD,7C,6C,4H,JS,Mike,7C,10
7S,4D,JC,4C,9C,AC,QH,TS,5S,6S,jrb,Nd,0
TH,KS,7H,TS,6D,AC,JC,8H,AH,QH,Mike,7N,6
AC,9C,KH,8C,TS,8D,5D,JD,JS,JH,Becky,7D,9
6D,JH,6C,AC,JS,TH,AH,9H,6H,8D,Mike,7H,5
6C,4C,AD,9C,KH,9H,8S,5C,7C,4H,John P,No,2
TS,5C,AC,4D,9D,9C,4C,AH,8C,7H,Becky,Nl,0
AD,QH,9H,JC,5H,QC,KS,7S,JS,QS,jrb,8S,7
QD,JS,QH,JH,5S,5D,9C,7D,5H,4S,Mike,8C,6
4D,TC,5C,5D,8D,7H,8C,9H,TS,6C,jrb,No,0
5D,AD,AC,9C,JD,4H,8H,4S,7S,TD,jrb,6D,7
4D,AC,7S,AD,QS,JS,AH,JC,AS,7C,Mike,8S,10
QC,TH,7H,6D,9S,6C,KH,TS,JD,JJ,Mike,8H,8
6D,QD,7C,TH,KD,TD,AD,4S,9S,5H,Zach,7N,7
KS,7H,JC,8D,6D,TC,9D,AC,7D,AH,Becky,7N,7
JS,7C,TS,5C,4C,6C,8C,KD,5S,4S,jrb,No,0
JS,KS,5S,9H,5D,5C,6D,8H,JJ,JH,Mike,6H,5
8S,JH,JD,TC,9S,QS,9H,JS,AH,7H,Mike,7H,8
AS,4S,AD,5H,8D,9S,JD,7H,5C,AC,Becky,7N,3
6S,JS,QD,JH,6H,7D,KD,KS,8D,TD,Mike,8D,7
AD,9S,5H,4S,5D,7S,4H,JH,4D,JD,Mike,No,0
KD,6C,7D,5C,4H,KS,TS,4C,8S,KH,jrb,Nd,4
5C,6C,AC,5H,9H,AD,6D,TC,4S,KD,jrb,7D,8
5D,8H,9S,4S,9D,7C,8C,QD,KC,5C,Mike,Nl,1
JD,4H,8D,5D,4D,7D,8H,9H,JS,6C,Becky,Nl,0
AD,JD,8S,QS,AS,QC,TS,4S,TH,7H,jrb,7H,9
JS,8H,4C,9C,JD,QH,5D,TH,AD,AS,Mike,6H,5
QH,JC,7H,8H,7D,4H,AS,5S,6H,KH,Mike,8H,8
QD,5S,KH,TS,KS,9D,AH,8S,8C,6S,John P,9S,10
4C,AC,8D,9H,8C,5C,4S,8S,JC,KH,John  P,7C,5
AS,JD,8S,JH,6D,9S,AH,KD,AC,5D,John  P,8D,9
8C,JC,TD,7D,4D,JS,JJ,4S,TC,8H,Mike,8C,9
4H,7H,8S,8H,4S,TS,5D,4D,AD,KC,John  P,No,0
9C,4C,AD,5C,8H,AC,8C,6H,6C,AS,Becky,8N,5
9D,QD,JJ,6C,JD,9S,QC,AC,9C,KC,John  P,9C,10
QD,JS,9C,5C,5H,4C,6S,QS,JH,JJ,Mike,7N,5
TH,7H,9S,5H,QC,6C,5C,9C,AC,4D,John P,No,0
4D,QD,9S,JH,KS,8C,AS,AH,JS,8H,John P,6N,8
AS,JC,AC,TS,JH,9D,7C,9S,4D,AD,jrb,7D,7
8H,9H,4C,AH,JC,AD,KH,9D,6H,7C,Zach,7N,5
8D,6S,JC,4C,8H,4S,7C,8C,5C,QD,John P,No,0
7H,KD,5S,JS,6S,4D,AC,JJ,KS,AD,John P,7N,10
AC,8D,TC,4H,6S,TD,JS,KC,TS,7H,Mike,8C,7
4H,7S,5H,9D,QS,AS,7D,JJ,7C,6C,Mike,7S,3
JS,TC,KC,9C,AS,QC,8H,QS,5H,8S,jrb,8C,5
9S,JS,4D,5C,QH,8D,7C,9D,AD,KS,Mike,8D,8
4C,4D,8H,TC,QH,AC,9C,AH,5H,6D,Zach,Nd,0
KS,AC,AD,TC,4H,6H,QS,JH,7H,5S,Mike,6N,7
7S,6D,7C,JJ,TS,6H,8C,4S,4D,KC,Zach,Nd,0
9S,6C,JC,7C,8S,4D,4H,5C,7D,KD,John P,Nd,0
9C,JJ,AC,JC,9H,6S,JD,9S,JS,8S,Mike,8C,9
4S,QC,AC,4H,TS,JJ,JS,8H,5H,9S,Zach,8S,9
9H,KS,5D,6H,JH,TH,4H,JJ,JD,5H,Mike,9H,10
AS,KH,AC,5S,AD,9C,8C,4D,6H,6C,John P,Nd,6
QH,9S,6S,AD,TS,4S,4C,7H,KC,6D,Mike,Nl,0
KS,AD,QC,8C,QS,5C,QH,9H,AC,4S,Becky,7N,7
5D,5H,JS,JH,JC,4D,9S,7D,KH,TH,Mike,7H,7
6D,5S,JH,8S,JD,6S,AS,7S,4S,7D,jrb,No,0
4H,JC,JH,4D,8C,7C,QD,5D,7D,5H,jrb,No,0
KD,5D,4H,AC,9S,4S,7S,9D,QS,AD,Becky,Nl,1
9H,8C,QH,JH,AH,6H,5H,5C,6D,TD,jrb,7H,9
5D,9H,4H,7S,TC,5C,4C,6S,8S,JC,Mike,No,0
9H,AD,7D,KH,JH,4S,6H,JJ,QD,JD,jrb,TH,10
6C,9H,6S,QS,TS,9S,4S,JH,9C,JS,Mike,8S,8
9D,9H,QD,8C,AS,6C,9C,JC,AD,8S,Zach,8C,10
JC,7S,4S,4D,AC,TD,QD,8D,6H,JS,Zach,7S,9
4C,9H,JJ,9C,KH,7C,4S,6H,8H,AC,Mike,Nd,3
JJ,TC,JD,4S,9S,AD,6D,9H,4C,JC,Mike,TD,7
JD,AD,8C,5S,6C,7S,9C,JC,4H,5D,Mike,Nl,1
JD,7D,6D,9H,JH,9D,AH,TS,AC,6S,John P,8H,10
6C,8C,AC,5S,7C,TH,4D,6S,8S,JJ,Zach,Nd,6
5C,AC,6H,JH,TC,KC,AD,QD,8D,6D,Zach,7N,9
6C,TS,JJ,5D,6D,AS,8H,JH,QS,6S,Mike,8S,9
9S,JJ,TC,7C,9C,KH,5C,4S,QS,6S,Mike,7H,5
KC,KS,5D,7C,6D,6S,9D,AD,JH,TD,Zach,Nd,1
KD,QD,TC,4C,4D,9C,KH,TS,TD,7S,Mike,Nd,0
AC,8D,JJ,7S,9H,AS,TS,7H,6H,QS,Mike,9N,7
TC,AH,KS,JJ,QS,4H,4C,4S,JS,4D,Mike,8H,8
8D,6C,9D,TC,9S,6S,6D,JC,JH,AC,jrb,8C,6
6D,7S,6S,AH,6C,KS,TH,6H,5D,QH,Zach,No,0
QH,KS,4H,QD,5C,AC,9D,4C,5H,TS,Zach,Nl,3
AS,QH,6C,8H,JC,KH,JD,TC,QC,5H,Mike,Nd,5
AC,KD,QS,9H,9D,JD,JH,8H,KH,7H,jrb,8H,9
8D,QC,5S,9D,6C,7C,6H,AS,9H,4C,Zach,No,0
6D,9H,4C,AC,QC,5D,6C,7C,QD,8D,Mike,No,2
TD,JD,6C,TS,4D,5H,JJ,AD,KD,QC,jrb,8D,10
6D,4H,4D,JH,KC,TH,JD,5S,KH,5C,Mike,8H,9
7S,JC,9D,8H,QC,6D,JS,5C,7C,9H,jrb,8C,8
QH,4H,9H,JC,6H,4S,4D,8H,KC,7C,Mike,Nl,0
4D,KS,5H,AH,JS,5C,AD,9C,8H,5D,Mike,7H,9
JJ,JD,5C,9D,5S,AD,KC,6H,KD,AS,jrb,8N,10
JJ,6H,QS,7S,KH,5D,JC,TS,7C,4D,Zach,7C,8
6C,AC,7S,4S,KH,TS,6S,8D,4D,8S,John P,No,0
QS,QC,7H,7C,QH,6H,KC,9H,AC,TH,Mike,8N,9
8S,5S,AC,7H,6D,JD,5D,8C,8D,AD,Mike,8D,8
6S,AH,9S,AS,6C,AC,6D,4S,7D,5C,Becky,8N,7
JJ,8C,5S,8H,JC,9S,7D,7S,KD,9D,John P,8C,9
9H,4S,KS,QD,TS,6D,TH,KH,JS,JJ,Mike,8S,8
AH,9C,7D,9S,JH,7S,6H,TH,5C,JS,Mike,7H,6
4C,JJ,TC,JS,8C,6C,JC,9S,AD,8S,John P,TC,8
9S,5C,JD,JH,7C,4C,KD,6H,QH,9C,Mike,7H,7
KC,4S,8C,TH,JJ,AD,9S,QS,6D,7S,jrb,7D,8
9D,QC,6H,KH,JH,AC,KC,TH,JS,AH,Mike,7N,9
4C,8C,TC,5H,QC,9D,AS,JJ,8S,KD,John P,7N,7
9H,5H,5S,KC,QS,AS,QC,JS,KS,7C,Mike,8C,9
JH,JS,QC,5C,KH,KD,JC,TC,8C,AS,John P,8C,8
9D,6C,QD,7S,8D,AS,4C,6H,QS,9C,Mike,Nd,2
AD,7H,AS,9D,6C,4C,6D,4H,JH,TH,jrb,7H,10
TD,7S,AS,TS,KD,8D,5D,JH,6S,AD,jrb,7D,10
6S,JS,9S,9C,AS,AC,TC,8H,6C,4H,Mike,8C,9
9D,AD,7S,TD,AS,4C,5D,4D,JC,8H,Mike,No,0
5C,KS,8S,5H,7H,6H,4D,6D,KC,7D,Mike,No,0
7H,JD,8S,8H,TH,AH,6S,8C,7C,9D,jrb,8H,8
KD,JC,4D,QS,8D,KH,4C,7C,KC,6H,Mike,Nl,1
TC,KC,4H,TH,JC,8C,9H,5D,4C,5H,Mike,TC,6
TC,AH,9D,AD,4D,8H,JD,6D,7C,JS,Zach,7D,8
QS,JS,4S,8H,4H,6C,9S,9D,8S,QH,Mike,Nd,0
9H,TH,4C,QH,4H,TD,7S,AH,7D,JJ,John P,8H,8
5S,JH,6S,TD,5D,9D,4S,6H,7D,AS,jrb,No,0
JJ,AC,JH,6S,9S,5S,KS,TD,8D,4D,Mike,7D,7
KC,9C,4H,QC,JH,8S,JC,KH,TC,4C,jrb,8C,7
9D,4S,KD,8C,JJ,7C,TD,AS,JD,TH,kitty,7D,10
4H,8H,QD,TS,TC,5H,QH,9D,8S,JD,John P,TH,6
TH,QS,QC,JD,6S,4C,9C,TC,QH,JC,Mike,7C,6
QH,4H,5C,4C,8C,8D,AH,TS,6C,QS,Mike,No,0
JH,5S,8D,9H,9S,8C,KS,TS,TD,4D,John P,9D,5
8H,9C,AC,AD,JD,KS,QD,5C,QS,AS,Mike,7N,6
QS,TH,9D,JJ,QC,8S,TD,AD,AS,9C,Mike,8H,9
QC,AS,JH,7H,6H,AH,9C,JD,4D,KS,John P,8H,10
7H,4S,9D,7D,AS,8D,5D,4D,KH,KS,jrb,Nd,3
QS,4C,QH,TH,6D,AH,KH,4H,4S,5D,Zach,No,0
TS,KD,AD,TC,9C,AC,4D,JC,6S,5C,jrb,7C,7
JH,TS,KS,TH,9H,6H,QH,QS,4C,TC,Becky,8H,7
QC,TH,JS,AH,AD,7S,9D,4H,TC,5H,Mike,8D,7
6C,9C,4C,6S,JH,JJ,4D,TS,5C,8C,Mike,No,0
4S,7S,QS,KH,4D,5H,9D,AD,6D,QC,Mike,Nl,0
6D,7H,4H,6H,9H,8D,AC,8H,4D,KD,jrb,Nd,0
5C,KC,8D,6C,AS,KH,TD,9C,4S,6S,Mike,No,1
7H,9D,5S,8C,AC,4H,JD,9C,6D,5D,Mike,7H,7
9H,8S,6C,AD,JD,5S,KC,9C,JH,JJ,jrb,7D,10
4H,JJ,AS,8H,KS,KH,JS,AD,5S,JC,Becky,8S,9
7C,9H,6S,7S,5H,JH,JD,KS,4H,KD,Mike,7H,8
7C,9H,5H,KS,JH,7D,6D,5D,8C,JC,Mike,Nd,2
7C,7H,9H,6C,QD,JS,AD,AC,KC,JJ,Mike,9C,10
KC,AD,5H,9H,4H,4S,7H,6D,QC,9C,John P,No,0
9C,QS,5C,4C,5H,8D,7H,TS,6H,TC,John P,Nd,0
6S,4D,JH,4C,6H,AD,9D,QH,AS,5S,kitty/rich,7H,8
6H,AS,4D,TD,4C,6D,QC,8H,4S,5C,John P,No,0
7C,QS,KH,AC,QH,9C,4H,4S,9D,AD,jrb,7N,7
QS,QD,4D,8S,JJ,JD,4S,4H,9H,KC,Mike,8D,6
AD,QD,4D,8H,7C,JD,6D,4H,QH,6C,Mike,No,4
7D,AS,5C,9D,9C,6H,JH,QS,4S,6D,Becky,Nd,1
JS,JD,QS,9H,AH,8H,7C,6D,QH,4H,Mike,8S,6
9C,9S,TS,5H,AS,QC,JS,5D,8H,QD,Becky,8S,4
4S,AD,7S,KC,5H,7H,KD,QC,9D,JJ,Mike,7D,8
4H,TD,7H,AH,7C,7D,4C,8C,JJ,JS,Zach,7C,10
5C,8H,QH,JD,5D,7S,AH,JS,6C,5H,Zach,7H,8
5S,8H,AD,AS,9S,KC,TC,QS,6C,KS,jrb,7N,6
TS,5C,7S,6S,QD,9D,8C,8D,AH,QS,Mike,7H,5
4H,5D,AD,4D,9C,KC,KS,JS,TS,QS,Zach,7N,5
7C,AH,4H,JD,5H,7D,QD,4D,TS,8C,jrb,7D,4
5H,KH,TS,TC,7C,7S,5S,AC,6D,5D,jrb,Nd,0
5H,7C,7S,6D,7D,5C,AD,JJ,8D,8H,Mike,7D,7
AC,KC,QS,7D,6S,AS,6C,5H,6D,5D,Mike,No,3
8C,7D,7S,8D,7C,5S,TC,TS,6S,KS,Mike,No,1
6C,5S,QH,KS,7C,9S,AS,TC,AC,5H,Mike,Nd,0
QH,7S,9C,9D,JJ,JC,KD,AH,9H,QD,Becky,7N,8
5S,4D,5D,QD,JH,AS,8S,6S,KS,4H,John P,Nd,0
KD,AD,JJ,4C,6C,JC,KH,KC,6D,QD,Rocky,7N,9
KH,JC,QS,AS,AH,7D,9H,8C,AC,6D,Mike,7C,9
6C,6H,8H,7S,5H,4C,TS,6S,8C,AD,Mike,No,1
7H,KH,TH,5C,5H,QC,JS,8C,AH,QH,John P,Nd,5
JD,4D,6C,4H,8D,JH,6S,8C,7H,QH,John P,7H,6
7D,JD,8C,KH,9H,AS,5D,6H,KS,KD,Mike,7H,8
8D,8S,AC,AS,8H,4H,4S,6D,QC,6C,John P,7N,8
JD,4S,6H,QS,7H,4D,8C,JJ,KH,AC,Rocky,7H,8
7H,TC,AD,7C,JH,TS,9D,AS,8C,TH,Mike,7H,7
7S,8H,TH,QH,5S,5H,5C,6D,5D,AC,John P,Nl,0
9C,7D,7H,TH,JC,6H,9H,8H,9S,AS,Becky,Nd,0
4S,KS,8H,8D,TH,7S,JS,8C,7C,JD,Becky,Nd,8
JC,8D,9D,KC,8C,9H,5C,8H,5H,QC,jrb,7C,7
6H,9H,KC,JC,QC,7H,KS,8C,AC,JS,jrb,8C,5
JD,6D,5S,JJ,9H,AS,7D,8C,JS,7S,John P,8S,9
QC,JC,9H,JS,JJ,8S,4H,KC,KD,4C,John P,8C,8
JJ,6H,4S,5H,JS,4C,6C,9D,9S,7C,Mike,Nd,4
5H,4D,JH,TC,KS,6S,QD,7C,8S,7S,Mike,Nl,3
6C,AD,AC,KC,9S,5C,9C,4C,5S,AS,John P,No,2
QD,QS,TS,4H,6H,4C,JJ,8C,4D,JH,John P,7H,7
5S,QC,AS,KH,8H,AD,8S,JJ,6C,5H,Mike,8N,9
QD,JH,7S,QS,7H,4C,QH,KS,QC,KC,jrb,7H,9
QS,QD,7S,5S,QC,AH,TH,AD,QH,4H,John P,7N,6
JD,7D,7H,8H,9S,4C,JC,AD,5S,JH,Mike,TD,8
KH,KC,4H,TD,5C,JJ,JH,TC,AC,8S,Mike,8H,7
QS,TH,9C,AH,KS,JC,AC,JS,AS,TC,Zach,8C,8
JJ,QD,7D,TS,7S,KC,7H,5C,JC,KS,Mike,8C,6
9H,TS,4C,TD,7S,QS,4H,5C,5S,4S,jrb,No,0
KD,QC,AS,TD,QS,5C,6D,JD,JJ,8D,Mike,8D,10
KC,AC,TC,8C,8S,6D,JD,4C,QC,KS,Mike,7N,8
AH,TD,8S,4H,JJ,7D,AD,QS,TC,7H,jrb,7N,9
4S,AD,KD,KH,5D,AC,JS,5S,KS,TD,John P,8S,10
8S,9H,TC,JH,6D,9S,KD,7H,4C,JC,jrb,7C,5
9H,KC,7H,JC,JJ,8S,KH,JH,QC,AS,John P,7H,9
AD,4D,8D,JS,4H,5S,KD,9S,JJ,6S,jrb,7N,8
9C,7S,JD,AC,8H,4H,QH,5D,AS,KH,Zach,7H,9
KC,5H,QD,4C,7H,9H,TH,5C,4H,AH,Mike,No,0
8D,7C,9S,JC,9C,9H,KD,JS,6D,QC,Mike,8C,8
JS,6C,7C,AH,KD,TC,7H,7S,9C,TD,jrb,7C,9
6H,AH,5C,TS,4C,4D,6D,KC,TD,AD,Mike,Nd,0
4S,8S,TD,9D,8H,6C,7C,QS,AD,JS,Becky,8S,5
KC,AD,8C,8D,7D,6D,KD,TC,6C,KS,Becky,7N,7
9C,TC,7H,TH,9D,6D,AD,QC,JJ,4C,jrb,7C,8
KC,TD,7C,9C,7D,8D,JC,4S,6C,6H,Becky,Nd,4
9C,7D,AH,JJ,JS,6D,6C,QC,7C,AD,Becky,8N,6
4H,5C,4S,5D,KC,QS,JD,6D,QD,7H,John P,No,0
JS,5C,QC,AD,KD,AS,JJ,JD,AC,9S,Becky,7N,10
KD,6H,QS,7H,TD,9D,6S,6C,AC,QH,Becky,6N,6
TD,AC,9S,8C,7H,4D,JS,JJ,QC,AH,jrb,6N,6
AS,AC,JC,QH,5H,7C,4C,TD,4H,KH,jrb,7H,9
8C,4D,JH,8D,AC,AH,AD,KH,QH,JS,Mike,7H,8
8C,TD,6D,5H,7C,JD,6H,4S,4D,8H,Becky,Nd,2
9D,JD,AH,7H,AC,TH,7C,KC,5C,JS,Mike,7N,5
KS,8S,TS,JC,4C,8H,4H,6H,QH,QC,jrb,7H,6
AS,6D,TD,QS,8H,4H,6S,JC,KH,JS,jrb,8S,9
JH,JJ,4D,5H,QC,6D,4H,4C,5S,JC,John P,No,0
6C,7D,5S,AC,TC,KH,8H,4D,9D,7H,jrb,7H,7
QH,9H,AS,6S,AD,8C,4D,KC,QS,4H,Mike,7N,9
AS,9H,KC,QS,QC,4D,AC,TS,JD,KD,John P,7N,10
KH,JC,4H,6C,6S,KS,AC,8C,TH,4S,John P,8C,8
5S,9D,QS,KC,7C,AH,JD,QC,4H,AS,jrb,8D,7
KS,JH,JJ,AH,6C,7C,6D,TD,8C,QD,Zach,7D,5
5D,4H,KD,6H,QH,7S,8S,4D,5C,JJ,jrb,Nl,1
9H,8D,TC,5D,6S,JD,QH,9D,KD,TD,jrb,8D,8
JC,KH,QD,TS,QC,9D,7S,5H,6C,4C,jrb,8N,6
6H,4H,5C,7D,KH,KC,AH,5D,AC,4C,Zach,No,0
9D,4H,KS,4C,9S,TH,QC,8C,7D,7C,jrb,Nl,0
5S,7D,9D,JJ,6C,QH,5D,JC,4S,JS,Mike,7C,10
4C,TC,QH,AH,JJ,KC,7C,6H,9H,AS,Zach,7N,10
6D,9S,QC,QD,9C,KH,JJ,TH,TC,7C,Chris,9C,9
QS,QD,4D,JD,QH,9D,KH,KC,4S,7D,Zach,7D,6
JH,6H,5D,JJ,5H,8S,TC,TH,8D,JD,Zach,8H,10
7S,4H,9D,9S,8C,JJ,6D,8D,TS,4D,Chris,No,0
TS,QH,5S,6C,6S,AS,JJ,KS,7D,JS,Zach,8S,10
AD,5S,JS,JC,4H,QS,7C,JH,KH,AS,Mike,8S,8
8C,9C,QC,7S,JS,TH,KC,JJ,4C,AC,Mike,8C,9
7H,6S,8S,5S,8H,4H,JH,5C,TS,TC,Matt,7H,5
TH,7S,5S,KC,KD,AH,8C,JJ,5H,JH,Matt,7H,8
JJ,TH,KS,6C,JH,9D,TS,AD,7D,AH,Zach,7H,7
6C,7H,TD,9S,TH,4C,8D,7D,4D,QS,Matt,9S,8
9S,AC,4C,8H,8D,JH,QD,JJ,4S,5H,Mike,7H,9
TD,AH,5C,AD,JD,TS,4S,KD,6H,KS,Mike,8D,8
4C,5S,QC,5D,TD,6D,6C,AD,JJ,7C,Matt,9C,9
6S,7D,5S,6D,QH,JS,9D,QC,4S,7S,Mike,Nd,5
8S,9H,4D,JS,4S,7S,KH,6D,7D,AD,Mike,8C,8
6C,TC,7D,6H,KH,8S,4H,7H,5C,TH,John P,No,0
TS,5H,JC,JJ,TD,QC,KC,JD,KH,QH,Mike,8H,10
7H,KD,JJ,4C,6H,AS,9D,8D,8H,JH,jrb,7H,10
4H,5H,8S,6H,KD,TD,TS,4D,AH,AS,Becky,8D,9
6C,7D,9H,9C,TC,6S,KC,7C,4H,6D,Mike,Nl,5
8C,QH,TS,JH,4H,7S,JS,7H,KD,6C,Mike,7D,7
6S,6D,JJ,6C,KS,JD,KD,8C,QS,AH,Zach,7N,7
5D,4S,AH,9S,JJ,9C,KD,AC,8H,TC,John P,7N,10
9D,5D,TS,5S,7H,AH,9H,JJ,4H,8H,Zach,7H,8
6S,4S,5C,KS,TD,4D,KH,7S,7D,5D,Zach,No,0
AC,9C,4C,JH,7D,7C,6H,QD,KH,5D,Mike,7C,7
QC,4C,6C,5D,TC,JC,9C,AS,JS,5C,John P,9C,9
7S,4C,KH,5S,9H,8C,JH,8D,5D,4D,Mike,Nl,0
KH,5S,9H,7H,5H,6H,TH,8D,8H,TS,Zach,No,1
JS,AC,8H,9S,6C,4D,6S,9C,5D,TD,John P,Nl,0
5C,KD,AS,4H,8D,AD,QH,QS,6C,QD,Mike,7N,9
AC,5C,JJ,7H,AD,QH,6D,5S,7D,JH,John P,7H,10
KS,7D,KC,6C,KH,AD,TC,9S,9C,AS,Becky,7N,7
5D,KD,QC,9H,AH,4S,TC,9D,7H,JH,Mike,7H,8
8S,8D,8H,KS,KH,AH,9S,JD,4C,KC,Zach,7H,7
5C,QS,6D,KH,5H,JS,6S,9S,TS,4S,Zach,No,1
JC,6S,8D,TH,6C,JH,9C,8C,JD,8S,Zach,7C,7
JJ,JS,AD,TS,8S,AC,KS,9S,7C,4D,Dani,9S,10
KC,8H,9D,AD,5H,QC,JC,KD,JD,8D,Zach,7N,10
